Time id,Material,Material_Id,Quantity,Total_Value
31,S02-010175,34400.0,520.0,1864220.99999999
32,S02-010175,34400.0,496.0,1778162.0
33,S02-010175,34400.0,512.0,1835520.28
34,S02-010175,34400.0,416.0,1491360.0
35,S02-010175,34400.0,508.0,1821180.0
36,S02-010175,34400.0,348.0,1247587.71999999
37,S02-010175,34400.0,320.0,1147208.64
38,S02-010175,34400.0,404.0,1448345.39999999
1,S03-030109,34404.0,5.0,421470.899999999
2,S03-030109,34404.0,7.0,589710.559999999
3,S03-030109,34404.0,10.0,887340.77
4,S03-030109,34404.0,5.0,449135.34
5,S03-030109,34404.0,3.0,267112.17
6,S03-030109,34404.0,8.0,717332.64
7,S03-030109,34404.0,36.0,3254171.96
8,S03-030109,34404.0,30.0,2741665.32999999
9,S03-030109,34404.0,14.0,1277642.13
10,S03-030109,34404.0,11.0,995408.65
11,S03-030109,34404.0,25.0,2275567.71999999
12,S03-030109,34404.0,24.0,2127161.23
13,S03-030109,34404.0,14.0,1253444.28
14,S03-030109,34404.0,12.0,1043822.6
15,S03-030109,34404.0,21.0,1912888.47
16,S03-030109,34404.0,15.0,1356323.54
17,S03-030109,34404.0,13.0,1212951.1
18,S03-030109,34404.0,5.0,463632.96
19,S03-030109,34404.0,9.0,831501.87
20,S03-030109,34404.0,14.0,1265771.67
21,S03-030109,34404.0,18.0,1917367.75
22,S03-030109,34404.0,13.0,1339507.69
23,S03-030109,34404.0,16.0,1658713.03
24,S03-030109,34404.0,36.0,4223129.9
25,S03-030109,34404.0,22.0,2471409.18
26,S03-030109,34404.0,11.0,1234605.48
27,S03-030109,34404.0,14.0,1560713.42
28,S03-030109,34404.0,4.0,445918.12
29,S03-030109,34404.0,12.0,1337754.35999999
30,S03-030109,34404.0,9.0,1003315.81
31,S03-030109,34404.0,9.0,1003285.47
32,S03-030109,34404.0,12.0,1356343.15
33,S03-030109,34404.0,14.0,1604496.64
34,S03-030109,34404.0,14.0,1607978.67999999
35,S03-030109,34404.0,18.0,2060762.94
36,S03-030109,34404.0,16.0,1838816.4
37,S03-030109,34404.0,9.0,1034209.66999999
38,S03-030109,34404.0,12.0,1379639.81
1,S02-060363,34400.0,54.0,696358.18
2,S02-060363,34400.0,66.0,842794.2
3,S02-060363,34400.0,42.0,536389.559999999
4,S02-060363,34400.0,26.0,332057.879999999
6,S02-060363,34400.0,40.0,510792.8
7,S02-060363,34400.0,84.0,1072664.88
8,S02-060363,34400.0,98.0,1251442.36
9,S02-060363,34400.0,94.0,1200215.92
10,S02-060363,34400.0,86.0,1096807.02
11,S02-060363,34400.0,56.0,713792.3
12,S02-060363,34400.0,70.0,891911.66
13,S02-060363,34400.0,80.0,1019327.6
14,S02-060363,34400.0,62.0,788147.54
15,S02-060363,34400.0,88.0,1284304.84
16,S02-060363,34400.0,74.0,970801.239999999
17,S02-060363,34400.0,48.0,622397.639999999
18,S02-060363,34400.0,94.0,1200675.82
19,S02-060363,34400.0,78.0,993768.74
20,S02-060363,34400.0,80.0,1016240.0
21,S02-060363,34400.0,104.0,1321112.0
22,S02-060363,34400.0,100.0,1270300.0
23,S02-060363,34400.0,94.0,1194082.0
24,S02-060363,34400.0,130.0,1651390.0
25,S02-060363,34400.0,148.0,1880044.0
26,S02-060363,34400.0,142.0,1802646.7
27,S02-060363,34400.0,130.0,1650217.98
28,S02-060363,34400.0,104.0,1259372.74
29,S02-060363,34400.0,116.0,1392314.72
30,S02-060363,34400.0,78.0,935239.76
31,S02-060363,34400.0,124.0,1486667.72
32,S02-060363,34400.0,124.0,1485962.68
33,S02-060363,34400.0,98.0,1173086.45999999
34,S02-060363,34400.0,94.0,1125063.42
35,S02-060363,34400.0,90.0,1077162.96
36,S02-060363,34400.0,146.0,1747375.97999999
37,S02-060363,34400.0,170.0,2034580.85999999
38,S02-060363,34400.0,24.0,287232.0
21,E58-200-001,34342.0,20.0,1636780.0
22,E58-200-001,34342.0,12.0,982068.0
23,E58-200-001,34342.0,20.0,1637950.0
24,E58-200-001,34342.0,25.0,2034620.0
25,E58-200-001,34342.0,13.0,1058143.0
26,E58-200-001,34342.0,10.0,811400.0
27,E58-200-001,34342.0,26.0,2109640.0
28,E58-200-001,34342.0,17.0,1426856.0
29,E58-200-001,34342.0,13.0,1091548.45
30,E58-200-001,34342.0,7.0,584714.55
31,E58-200-001,34342.0,22.0,1831757.54
32,E58-200-001,34342.0,20.0,1663419.0
33,E58-200-001,34342.0,23.0,1909023.0
34,E58-200-001,34342.0,21.0,1773501.0
35,E58-200-001,34342.0,7.0,594342.0
36,E58-200-001,34342.0,18.0,1528308.0
37,E58-200-001,34342.0,12.0,1018888.6
38,E58-200-001,34342.0,12.0,1015548.4
1,S02-060362,34400.0,54.0,583499.6
2,S02-060362,34400.0,64.0,684887.42
3,S02-060362,34400.0,42.0,449443.26
4,S02-060362,34400.0,26.0,278258.579999999
